product_id,component_id,required_quantity
49,653,74.15
49,269,55.21
49,166,42.83
50,115,94.51
50,78,69.13
51,559,36.98
51,37,55.3
51,855,43.04
52,316,89.91
52,374,79.63
53,921,21.09
53,367,25.03
54,363,56.03
54,799,87.48
55,948,86.47
55,953,97.62
55,243,81.1
56,26,78.26
56,184,41.23
56,755,67.02
56,947,73.53
56,341,24.89
57,807,38.32
57,719,3.97
57,111,47.12
58,837,35.03
58,941,82.07
58,472,87.15
59,25,39.91
59,676,27.93
59,198,7.04
60,360,67.98
60,657,84.38
60,522,33.18
60,410,2.86
61,183,3.92
61,595,59.7
61,986,34.63
61,272,78.66
62,621,57.7
62,524,25.55
62,119,70.91
62,395,0.27
62,922,92.56
63,373,94.89
63,442,92.09
63,72,62.35
64,738,30.1
64,922,31.0
65,335,12.82
65,413,42.1
65,714,94.04
65,303,67.76
65,568,90.29
66,416,30.46
66,562,21.1
66,854,78.6
66,1,60.71
67,477,51.17
67,453,79.39
67,692,95.99
67,219,73.62
68,291,66.42
68,528,61.96
69,839,75.14
69,975,67.31
70,826,2.54
70,204,24.56
70,151,47.57
71,467,88.63
71,425,57.61
72,507,68.79
72,410,89.28
72,250,86.06
72,152,88.56
72,672,77.86
73,181,69.62
73,824,46.51
73,981,55.78
74,468,80.16
74,137,66.79
75,973,61.3
75,774,71.96
75,913,50.53
75,454,83.07
76,919,45.06
76,163,75.2
76,762,84.0
76,883,27.8
76,487,77.79
77,642,71.38
77,245,23.53
77,282,33.65
77,451,89.31
77,80,8.15
78,237,15.37
78,393,21.47
78,711,41.55
79,556,20.76
79,478,42.07
79,426,90.49
79,64,58.45
80,878,76.58
80,902,38.1
81,966,29.93
81,361,39.06
82,552,60.36
82,766,22.13
82,753,22.02
82,560,43.64
82,820,3.0
83,685,72.45
83,696,84.07
83,818,91.96
83,415,98.07
84,929,59.23
84,404,66.33
85,659,13.66
85,439,46.22
86,267,32.8
86,389,45.52
87,780,75.23
87,901,83.21
87,389,25.3
87,285,8.28
88,768,5.3
88,553,95.2
89,666,95.73
89,71,4.12
89,800,3.2
90,205,62.17
90,860,23.93
90,21,47.41
91,578,21.87
91,971,69.98
92,172,74.82
92,621,11.54
92,622,81.95
92,987,96.48
93,593,92.9
93,27,57.62
94,407,59.25
94,965,83.07
94,733,24.36
94,204,69.75
94,78,30.23
95,816,78.29
95,580,34.79
96,678,34.19
96,380,84.97
96,71,82.25
96,519,10.64
96,664,96.08
97,725,52.22
97,157,65.08
97,446,61.63
97,181,91.97
97,752,77.49
98,447,32.3
98,846,24.62
98,749,93.47
98,607,27.96
98,275,45.14
99,584,2.97
99,625,85.11
99,685,18.27
99,389,21.29
99,345,79.8
100,287,88.02
100,902,55.62
100,611,51.71
100,719,19.19
101,738,55.56
101,417,24.11
101,501,47.66
102,459,22.24
102,812,69.21
102,18,30.69
102,96,58.2
102,302,47.38
103,436,35.25
103,764,45.43
103,564,30.73
103,339,23.13
104,324,53.63
104,123,76.24
104,761,18.6
105,757,72.49
105,496,97.66
105,284,52.51
106,103,22.83
106,853,18.03
106,199,1.51
106,304,53.46
107,47,29.28
107,998,94.41
107,56,63.82
107,567,75.3
108,894,57.45
108,13,46.99
109,349,94.11
109,189,47.83
109,989,82.23
109,53,40.13
109,259,7.5
110,156,81.13
110,153,94.92
111,255,55.85
111,122,41.68
112,795,45.11
112,536,44.33
112,390,86.03
113,313,96.01
113,583,10.01
113,636,76.3
113,62,62.59
113,625,26.54
114,161,17.46
114,246,7.6
115,419,68.97
115,462,47.04
116,238,70.72
116,296,70.33
117,73,78.8
117,704,62.54
117,240,66.15
117,947,93.37
117,271,42.57
118,664,26.64
118,153,14.31
118,931,6.06
119,610,92.13
119,767,43.97
119,845,46.92
119,583,30.48
120,966,43.83
120,279,59.84
120,513,88.95
120,553,73.48
120,506,60.41
121,94,96.19
121,235,83.61
122,784,82.16
122,689,57.67
123,482,44.28
123,532,27.89
123,668,99.69
124,651,47.05
124,834,40.89
124,504,32.17
124,993,10.55
124,94,16.17
125,711,40.11
125,508,76.07
125,296,3.77
125,679,8.9
125,968,25.31
126,994,40.48
126,792,51.51
127,674,54.31
127,891,41.38
128,531,75.67
128,371,62.58
128,638,76.02
129,274,92.77
129,563,43.87
129,135,69.86
130,30,63.04
130,997,79.95
131,319,55.27
131,565,9.41
131,15,99.23
132,473,11.83
132,970,83.23
133,956,27.42
133,734,83.49
133,299,98.03
133,522,24.45
133,723,55.17
134,196,87.94
134,944,86.42
134,614,27.7
134,521,79.02
134,765,41.55
135,841,29.93
135,3,58.74
135,290,99.89
135,744,49.02
136,458,34.58
136,552,55.24
136,496,54.39
137,956,23.96
137,330,38.36
137,891,85.62
137,194,41.14
137,715,31.89
138,723,98.84
138,936,79.26
138,831,65.24
138,391,15.3
138,396,96.49
139,515,33.27
139,989,10.13
139,605,84.52
140,539,45.75
140,933,72.27
141,892,47.0
141,671,96.92
141,994,33.92
141,159,69.3
141,77,65.02
142,873,38.06
142,691,31.73
142,880,71.9
142,547,75.96
143,633,23.55
143,71,68.47
144,233,97.84
144,765,76.06
144,93,70.42
144,445,10.14
145,711,2.99
145,307,32.51
145,926,5.71
146,384,53.16
146,442,56.64
146,150,79.27
146,251,17.08
147,625,38.32
147,892,68.35
148,935,63.83
148,598,46.01
148,147,66.72
148,238,89.9
148,473,46.58
149,694,44.23
149,560,34.62
149,162,58.8
149,76,63.93
150,707,20.0
150,257,38.53
150,468,48.37
150,866,23.8
150,310,57.24
151,717,65.86
151,303,27.52
151,23,56.64
151,850,68.61
152,933,74.54
152,621,83.3
153,795,80.21
153,819,21.98
153,236,19.09
153,622,25.14
154,644,62.78
154,100,4.04
154,926,78.88
155,594,73.26
155,374,9.1
156,335,20.16
156,766,78.67
156,426,87.66
156,180,36.65
157,851,82.49
157,169,48.24
157,264,80.67
157,936,74.68
158,824,7.62
158,118,75.44
158,480,22.64
158,987,67.66
159,991,9.12
159,867,39.52
159,824,26.52
159,571,12.45
159,375,36.92
160,599,94.04
160,391,10.92
160,843,23.46
160,654,2.6
161,938,6.42
161,625,82.4
161,227,90.95
161,664,30.29
162,120,30.51
162,144,49.31
162,47,9.81
162,969,88.74
162,39,13.65
163,380,94.6
163,687,41.97
163,973,74.25
163,761,15.54
163,714,41.55
164,854,61.6
164,502,93.91
165,34,44.39
165,707,95.06
165,380,85.56
165,223,10.03
166,558,6.15
166,924,27.66
166,661,96.82
166,368,94.91
167,94,59.75
167,679,2.23
167,218,78.7
167,658,24.43
167,655,12.68
168,71,55.47
168,850,58.68
168,784,81.32
169,337,78.89
169,793,59.64
169,152,27.8
170,134,79.87
170,554,11.08
170,257,86.66
171,16,78.86
171,367,58.93
171,809,1.68
172,54,52.66
172,130,74.59
172,760,47.68
172,432,77.82
173,463,22.23
173,516,61.55
174,470,6.18
174,659,47.95
174,988,40.22
174,32,68.64
175,730,8.17
175,932,60.87
175,455,6.66
175,76,27.57
175,921,63.34
176,391,45.43
176,612,60.58
176,544,10.01
176,302,70.21
177,441,22.93
177,463,33.96
177,910,45.4
178,748,25.56
178,98,95.36
178,321,68.71
178,438,47.48
178,682,9.21
179,96,9.75
179,443,73.91
180,570,95.67
180,62,56.21
180,601,67.03
181,363,42.35
181,895,91.59
181,682,5.24
181,964,28.83
181,769,31.31
182,592,21.35
182,520,65.71
183,868,84.55
183,111,36.82
183,359,76.28
184,827,56.14
184,440,76.77
184,866,62.21
185,624,65.82
185,952,69.38
186,185,70.3
186,280,30.97
187,360,14.41
187,7,65.77
187,186,7.05
187,891,74.12
188,94,53.1
188,765,37.68
189,350,32.51
189,162,94.15
189,379,59.66
189,320,88.35
189,739,15.64
190,691,27.28
190,84,66.23
191,622,75.52
191,453,11.47
191,425,43.05
191,280,28.4
191,221,67.88
192,540,39.59
192,684,59.97
192,316,0.87
192,47,30.21
192,226,21.2
193,783,32.88
193,262,0.87
193,297,74.73
194,133,70.4
194,390,50.08
194,546,83.35
195,74,4.33
195,407,1.97
195,883,92.12
195,760,86.22
196,588,29.02
196,415,40.56
196,727,96.62
196,656,17.27
196,428,94.77
197,852,43.73
197,707,10.68
197,942,43.62
197,371,40.1
197,91,7.96
198,764,77.93
198,348,7.73
198,227,63.36
198,342,53.11
199,928,35.17
199,795,95.83
199,358,64.58
200,242,25.67
200,106,17.43
200,150,15.37
201,182,77.31
201,975,49.46
202,698,63.57
202,947,62.49
202,904,86.44
202,579,62.76
202,659,15.18
203,481,63.18
203,453,79.65
204,361,7.51
204,520,46.23
205,59,83.19
205,378,7.77
206,630,50.76
206,609,46.32
207,461,81.0
207,931,65.22
208,620,95.78
208,488,45.11
208,514,81.12
208,155,83.75
209,517,17.34
209,662,24.85
210,450,36.45
210,537,91.8
210,536,38.8
210,625,77.47
210,163,67.92
211,809,64.77
211,647,6.68
212,572,38.72
212,695,25.27
213,342,66.39
213,84,91.68
213,597,31.09
214,133,31.03
214,610,37.73
214,726,79.19
214,961,81.34
214,87,67.04
215,662,42.4
215,687,36.25
216,317,34.24
216,185,76.64
216,974,19.28
216,220,100.0
217,80,78.83
217,303,50.82
217,865,54.02
218,678,87.65
218,345,61.84
219,158,77.13
219,167,80.92
219,186,16.64
219,852,43.82
219,710,41.14
220,993,28.56
220,455,74.88
220,626,44.95
221,317,78.46
221,989,90.41
221,829,19.48
222,473,50.34
222,788,41.92
222,289,16.29
222,797,20.05
222,392,60.51
223,54,37.18
223,657,93.44
223,493,71.17
223,896,51.64
224,292,76.34
224,86,27.35
225,851,94.65
225,448,22.28
225,94,45.17
226,953,39.71
226,28,37.46
226,425,38.68
226,55,8.25
227,29,10.0
227,327,71.5
227,954,33.6
228,141,91.75
228,40,47.3
228,294,83.13
229,460,2.0
229,631,21.64
229,6,15.04
229,928,94.03
229,82,60.93
230,114,12.27
230,795,23.92
230,296,63.93
230,244,62.32
230,309,6.37
231,612,57.55
231,549,71.88
231,17,29.2
231,648,0.26
231,528,35.35
232,192,97.47
232,681,6.86
232,685,52.65
232,88,50.78
232,537,98.83
233,400,47.07
233,895,63.6
234,260,78.87
234,766,34.55
234,17,73.32
234,366,62.86
235,137,33.92
235,46,64.32
235,361,83.06
235,560,68.5
236,647,71.63
236,187,94.37
236,831,3.79
236,139,20.24
236,65,79.13
237,324,31.08
237,956,39.88
238,260,28.68
238,38,86.23
238,772,4.88
238,663,65.61
238,196,27.39
239,448,44.03
239,911,95.65
239,410,33.97
239,762,18.76
240,377,80.13
240,947,72.74
240,817,7.98
240,532,60.29
240,274,82.25
241,329,66.13
241,106,30.72
241,82,60.3
241,336,42.67
242,360,91.17
242,458,61.52
242,44,43.55
242,745,63.98
242,891,79.17
243,77,63.79
243,688,36.39
244,976,84.88
244,32,67.84
244,147,43.87
245,69,64.55
245,242,36.28
245,798,94.95
246,620,67.94
246,158,94.89
247,455,13.86
247,782,36.76
247,79,31.51
247,588,27.94
248,27,18.69
248,754,51.82
249,269,26.1
249,794,44.68
250,711,12.35
250,939,85.3
250,503,45.26
250,205,89.88
251,90,98.66
251,830,66.82
251,699,70.98
251,991,55.04
251,866,29.11
252,872,92.74
252,162,63.81
252,729,79.39
252,727,50.92
253,206,13.97
253,812,79.06
254,370,57.27
254,568,46.79
255,627,6.67
255,906,39.88
255,89,71.72
256,539,57.53
256,421,12.62
256,788,31.77
256,420,7.51
256,844,46.64
257,132,55.18
257,900,58.82
257,849,76.8
257,799,12.99
258,852,51.86
258,128,30.48
259,331,22.62
259,958,94.75
259,727,51.94
260,867,63.54
260,81,55.13
260,257,12.6
260,202,30.35
261,515,16.95
261,657,94.17
262,176,72.09
262,675,60.55
262,640,84.27
263,846,2.93
263,885,4.64
264,667,41.72
264,216,63.94
264,786,49.85
264,586,62.75
265,658,24.56
265,980,80.75
265,310,40.67
265,495,45.41
266,162,41.62
266,451,46.5
267,622,71.86
267,148,73.45
267,321,86.09
267,883,97.54
268,779,56.21
268,380,31.98
268,528,46.7
269,461,5.16
269,254,94.54
269,145,86.43
269,100,41.87
270,834,57.81
270,336,31.34
270,957,76.34
271,528,49.79
271,479,9.1
271,511,39.38
271,901,45.78
271,316,24.15
272,50,59.79
272,52,84.3
272,289,67.28
272,507,28.65
273,868,43.15
273,111,88.26
274,783,40.12
274,413,57.07
274,375,19.55
274,47,55.37
275,396,45.09
275,517,55.03
276,132,9.76
276,999,37.38
277,572,14.51
277,962,60.29
277,375,40.2
277,774,4.12
278,141,33.37
278,731,47.43
279,153,32.86
279,621,61.35
279,915,16.33
279,528,99.06
279,144,73.96
280,608,51.02
280,345,49.04
280,520,56.34
280,849,47.54
281,378,67.41
281,340,97.99
282,816,68.84
282,921,2.76
282,743,47.51
282,894,96.71
283,739,48.1
283,53,52.47
283,598,72.15
284,152,57.3
284,842,70.08
284,698,19.16
284,249,44.16
284,33,41.94
285,708,61.19
285,209,47.21
285,421,84.85
285,514,72.77
285,794,70.61
286,575,47.89
286,333,37.74
286,679,95.67
287,935,67.62
287,546,86.78
287,351,68.11
287,560,80.38
287,363,26.51
288,197,29.92
288,981,94.15
288,253,98.23
288,286,77.14
288,572,70.52
289,325,93.46
289,492,72.19
289,358,28.85
289,574,57.39
289,957,54.36
290,839,14.73
290,354,4.3
290,978,95.54
290,792,8.0
290,824,92.41
291,766,82.81
291,491,27.19
291,220,56.25
291,207,27.23
292,631,58.72
292,759,24.32
293,654,10.11
293,239,33.1
293,54,47.29
294,6,97.79
294,988,15.88
294,564,65.32
295,489,28.8
295,667,28.61
295,205,6.01
295,775,76.9
295,988,65.26
296,548,85.05
296,757,3.83
296,741,92.15
297,904,3.73
297,858,83.64
297,181,78.82
297,957,18.71
297,942,74.93
298,898,56.84
298,39,10.82
298,10,98.3
298,306,28.53
299,911,46.86
299,962,19.36
299,138,11.35
299,872,16.33
299,517,45.95
300,736,33.78
300,191,29.57
300,15,67.47
300,755,19.4
301,847,40.14
301,438,9.63
301,528,98.17
301,336,47.8
301,89,93.59
302,268,23.63
302,393,75.4
303,310,1.24
303,597,65.4
303,741,69.31
303,587,6.31
304,477,16.06
304,315,68.64
305,707,94.07
305,121,36.82
305,655,22.16
305,939,95.74
306,157,41.64
306,466,54.97
306,766,47.14
306,621,53.8
306,383,66.44
307,781,75.5
307,254,87.33
307,697,8.28
308,541,56.46
308,721,6.27
308,371,54.81
308,80,50.6
308,940,57.31
309,169,52.08
309,336,11.71
309,875,20.62
310,94,5.66
310,921,13.28
310,523,41.6
310,457,56.43
310,829,55.92
311,741,81.66
311,23,74.61
311,406,57.87
311,261,4.62
312,718,93.46
312,66,7.0
312,555,93.38
312,62,3.27
313,185,97.84
313,788,64.62
313,139,42.09
313,785,99.29
313,657,38.31
314,385,87.47
314,83,13.39
314,700,86.04
314,988,11.95
314,678,99.29
315,542,0.45
315,131,2.37
315,746,29.91
315,229,67.38
315,855,54.49
316,844,15.6
316,236,18.93
316,254,87.53
316,472,76.57
316,355,3.32
317,630,1.66
317,785,20.69
317,959,10.18
317,905,3.45
317,911,59.82
318,251,4.52
318,759,43.95
319,773,5.74
319,885,50.44
319,795,29.0
320,592,81.86
320,613,23.77
320,792,87.64
320,689,98.57
321,424,6.19
321,308,94.86
321,282,87.98
322,642,55.63
322,696,4.78
322,438,34.51
323,805,40.89
323,538,30.06
323,327,18.47
323,714,53.84
323,427,24.17
324,308,14.52
324,879,46.36
324,725,5.86
325,992,38.9
325,427,25.57
325,571,33.09
325,543,8.0
325,138,45.03
326,95,19.13
326,549,26.92
326,742,67.4
326,850,60.33
327,193,76.19
327,824,72.46
328,491,90.71
328,214,30.39
328,891,90.91
329,960,74.17
329,195,74.71
329,986,75.46
330,713,20.53
330,619,91.52
330,721,55.25
331,390,35.99
331,478,26.23
331,547,51.33
331,665,49.78
332,823,47.0
332,740,83.99
333,380,4.67
333,321,86.42
333,424,74.15
334,268,93.48
334,567,57.96
335,303,38.05
335,157,83.35
335,201,49.98
335,338,65.5
335,236,68.52
336,782,72.38
336,842,73.99
336,501,46.14
336,990,73.3
337,174,48.88
337,144,91.7
337,738,54.26
337,560,64.22
338,537,83.92
338,35,7.53
339,783,41.3
339,7,84.27
340,70,1.01
340,725,50.62
340,155,37.38
341,676,55.21
341,500,1.28
341,17,52.99
341,7,27.55
341,545,97.75
342,515,69.82
342,833,43.11
343,110,52.49
343,941,24.17
343,99,62.02
344,835,39.75
344,363,37.37
344,274,40.66
344,815,56.54
345,308,84.8
345,701,65.41
345,848,85.84
346,96,37.99
346,416,55.31
347,653,70.31
347,10,8.36
348,661,97.39
348,804,89.49
348,340,91.92
348,580,23.05
348,879,90.14
349,278,92.57
349,48,89.94
349,947,56.39
349,77,3.39
349,701,92.88
350,17,14.5
350,985,82.09
350,213,82.11
350,602,92.89
351,167,83.48
351,578,38.98
351,247,89.66
351,581,33.24
352,810,7.93
352,706,74.57
352,742,34.65
353,448,83.88
353,238,34.13
354,993,27.41
354,793,99.26
354,335,49.11
354,31,35.65
354,650,94.12
355,191,8.66
355,697,61.9
355,600,79.83
355,677,71.34
355,390,8.3
356,390,63.43
356,729,73.99
356,803,31.74
357,94,94.3
357,6,44.53
358,105,43.15
358,136,55.74
358,90,51.29
358,192,10.42
359,363,9.4
359,568,59.84
360,885,41.44
360,395,77.94
360,13,72.51
360,299,56.0
361,586,68.56
361,534,17.03
361,174,26.97
362,505,43.52
362,150,42.17
362,65,48.47
362,172,7.78
363,967,49.63
363,253,61.71
363,739,45.84
363,641,13.64
364,972,33.29
364,406,62.06
365,451,82.37
365,343,65.14
365,441,59.48
365,836,30.11
366,491,96.46
366,322,96.88
366,182,29.22
367,991,37.67
367,590,81.67
367,801,39.35
367,249,11.48
367,334,56.43
368,699,2.79
368,787,72.75
368,564,94.3
369,449,83.15
369,817,7.01
369,299,84.79
370,690,24.28
370,512,65.9
370,143,71.55
370,649,78.93
370,311,7.49
371,597,92.05
371,411,69.2
371,548,54.41
371,519,79.09
371,946,36.02
372,112,24.9
372,788,66.5
373,663,56.37
373,628,64.54
373,46,64.71
374,989,1.15
374,816,25.95
374,441,51.12
374,109,51.93
375,457,46.36
375,384,67.99
375,401,69.07
376,354,10.54
376,26,41.66
376,495,96.18
377,852,73.04
377,964,34.9
378,467,48.34
378,804,47.67
378,212,43.87
378,534,69.71
379,69,71.11
379,308,2.36
379,46,34.37
379,830,11.03
380,953,51.65
380,759,55.24
380,250,33.17
381,982,63.01
381,474,18.72
381,238,65.77
381,817,39.62
381,415,73.77
382,461,38.94
382,607,70.5
382,440,20.66
383,592,79.97
383,105,53.74
384,334,26.31
384,202,86.28
384,469,52.82
384,117,63.95
385,626,35.26
385,402,45.84
385,602,17.34
385,117,67.39
385,357,80.08
386,689,31.39
386,138,23.93
387,188,69.37
387,383,51.13
388,611,18.66
388,142,63.59
388,589,69.37
388,393,64.56
388,434,99.99
389,502,18.79
389,296,84.21
389,144,61.98
390,975,19.59
390,10,38.46
390,497,56.2
390,140,65.34
391,702,44.44
391,504,16.81
391,426,56.58
391,728,79.61
391,861,22.13
392,282,53.81
392,231,16.9
393,580,55.02
393,761,11.41
393,792,11.51
393,785,77.53
393,508,82.35
394,556,76.02
394,843,44.19
394,775,21.93
394,43,42.57
395,305,45.03
395,896,34.92
395,34,81.69
396,887,21.07
396,121,73.79
396,795,68.94
396,832,86.12
396,243,61.07
397,170,81.37
397,631,80.56
397,143,57.05
397,804,53.27
397,212,59.73
398,332,29.0
398,721,26.81
398,300,85.82
399,139,75.03
399,986,41.22
400,284,65.62
400,888,70.17
401,256,32.28
401,150,24.83
401,729,84.37
402,502,62.82
402,146,37.58
402,592,7.64
402,648,79.48
402,276,76.91
403,528,87.74
403,768,45.52
403,285,48.86
403,712,58.24
403,959,86.9
404,749,45.9
404,996,66.45
405,871,39.83
405,65,96.82
405,815,82.5
405,548,49.52
406,849,57.84
406,291,56.66
406,346,48.59
406,561,34.44
407,48,62.66
407,102,83.69
408,128,85.78
408,952,44.18
409,982,20.31
409,439,68.89
410,904,15.98
410,666,93.28
410,310,27.47
411,257,90.39
411,85,16.64
411,381,39.69
411,681,30.62
412,440,70.4
412,672,0.21
412,94,47.73
413,608,68.03
413,232,1.03
413,532,69.59
414,881,69.43
414,433,47.82
415,393,80.62
415,92,10.41
415,749,36.82
416,141,75.34
416,392,13.4
416,793,99.29
416,833,14.37
417,625,16.5
417,666,35.18
418,644,92.0
418,767,61.65
418,156,44.29
419,89,14.09
419,919,12.4
419,103,73.03
420,987,14.07
420,440,27.77
420,323,8.52
420,811,55.38
421,798,84.8
421,964,65.87
421,708,30.23
421,28,51.82
422,766,64.65
422,402,78.4
422,303,79.4
423,507,24.18
423,396,63.84
423,116,7.19
424,370,31.72
424,957,38.75
425,375,47.15
425,560,98.74
425,700,7.39
425,177,58.78
425,782,1.48
426,41,94.87
426,945,39.86
426,62,28.72
427,434,53.7
427,719,61.64
427,412,27.82
427,85,31.06
427,656,51.18
428,998,53.69
428,828,39.13
428,160,63.47
429,318,43.8
429,716,95.35
430,60,92.47
430,251,11.69
430,89,61.27
431,317,74.2
431,683,74.09
432,13,13.81
432,725,1.23
433,976,82.27
433,356,26.0
433,536,37.25
433,530,75.0
433,802,87.36
434,790,3.03
434,922,80.73
435,537,97.51
435,66,62.79
435,270,49.67
435,730,51.13
436,512,56.73
436,880,36.83
437,792,67.44
437,106,11.62
437,916,74.1
437,588,0.36
438,251,47.23
438,48,38.36
439,184,85.76
439,954,55.33
439,984,91.4
440,230,72.06
440,330,27.2
440,255,7.88
440,427,37.34
440,938,50.25
441,184,80.45
441,229,98.14
442,71,77.38
442,899,31.14
442,477,8.73
442,887,45.73
442,290,36.96
443,578,62.31
443,804,46.45
443,312,59.21
443,758,49.39
444,751,76.07
444,923,24.59
444,560,0.74
445,25,83.97
445,239,87.73
445,555,95.1
445,355,0.25
445,652,65.76
446,107,42.04
446,211,96.12
446,543,97.26
446,244,14.32
447,96,89.74
447,45,52.02
447,944,70.11
447,238,37.31
448,595,50.59
448,98,63.76
449,77,66.28
449,607,13.16
449,582,29.24
449,64,85.11
449,446,92.61
450,718,45.33
450,852,23.44
450,754,94.36
450,335,13.7
450,326,77.04
451,160,16.52
451,109,46.66
452,124,20.84
452,549,30.9
452,367,26.57
452,988,12.08
452,789,15.85
453,847,4.13
453,722,83.61
453,714,32.85
453,618,9.21
454,992,51.39
454,365,67.75
454,406,26.09
455,32,85.47
455,975,55.64
455,415,55.06
456,474,80.41
456,105,14.07
457,64,78.12
457,851,22.31
458,844,68.66
458,411,93.76
458,382,8.5
459,940,99.72
459,833,19.86
459,77,64.63
459,23,80.95
460,927,82.95
460,868,33.22
461,965,5.16
461,473,92.42
462,842,38.33
462,742,42.72
462,405,35.46
462,509,90.84
462,31,27.57
463,905,61.74
463,153,64.76
463,36,49.94
463,629,88.29
463,635,47.96
464,287,13.81
464,393,20.03
465,646,79.51
465,822,98.94
465,557,78.21
466,492,34.47
466,558,56.61
466,801,32.23
466,497,27.12
467,327,21.98
467,612,89.59
468,60,35.81
468,829,58.44
468,484,23.35
468,543,16.05
469,673,53.42
469,247,79.14
469,273,73.73
470,590,38.9
470,867,93.53
470,817,99.16
471,181,31.87
471,243,73.84
471,607,35.94
472,721,35.23
472,718,56.81
473,577,83.69
473,972,81.06
473,193,97.04
474,180,5.71
474,503,60.21
474,39,2.09
474,93,47.85
475,940,13.14
475,629,71.72
475,207,91.89
475,826,84.44
476,61,70.5
476,23,14.25
476,152,11.18
476,601,52.68
477,984,94.2
477,75,39.62
477,383,10.19
477,722,30.25
478,1000,94.87
478,162,79.21
478,750,96.07
479,179,69.39
479,725,92.89
479,992,78.72
479,576,22.4
480,388,68.88
480,315,12.82
480,752,72.91
481,872,18.29
481,790,31.89
481,989,80.9
481,582,61.18
481,34,64.0
482,960,14.15
482,509,74.56
483,356,63.66
483,328,96.31
483,172,82.18
484,458,25.03
484,12,6.87
484,272,25.74
484,215,10.89
485,50,43.88
485,396,42.02
486,906,88.19
486,424,35.19
486,505,37.6
487,808,68.75
487,885,16.35
487,592,7.46
487,667,84.59
487,777,29.56
488,268,34.25
488,975,88.8
488,108,16.17
488,76,7.59
489,347,98.53
489,609,89.33
490,442,65.4
490,966,60.77
491,161,97.44
491,55,40.99
491,104,55.46
491,340,92.56
491,211,54.06
492,305,39.35
492,244,55.01
492,99,49.15
492,51,5.55
493,438,29.53
493,90,66.24
494,205,63.86
494,100,97.71
494,27,47.41
494,212,11.64
494,175,78.51
495,501,64.22
495,917,38.81
495,677,37.16
495,272,38.21
495,94,18.74
496,270,46.56
496,451,22.7
497,578,69.68
497,64,9.76
497,155,66.85
497,771,80.84
498,995,6.19
498,775,38.77
498,604,52.31
498,233,96.57
498,567,68.74
499,587,7.99
499,903,90.29
499,242,71.46
499,488,50.26
499,307,90.06
500,124,44.96
500,973,94.91
500,776,16.8
