material_id,descricao,criticidade_engenharia,lead_time_dias,custo_unitario,consumo_mensal,estoque_atual,estoque_cobertura_meses,score_criticidade
IP-CAT-0349,Catalisador linha amônia,5,23,159.22,80,90,1.125,0.6481013554873302
MP-MAP-0375,Fosfato monoamônico (MAP),4,21,242.75,49,19,0.3877551020408163,0.6467090312749771
MP-KCL-0084,Cloreto de potássio (KCl),4,24,249.3,83,49,0.5903614457831325,0.6463653305648733
IP-FLX-0294,Fluxo para granulação,5,28,116.23,48,54,1.125,0.6454329561134261
MP-URE-0117,Ureia (46% N),4,30,187.6,150,79,0.5266666666666666,0.6427991636077368
MP-MAP-0038,Fosfato monoamônico (MAP),3,60,149.26,175,107,0.6114285714285714,0.6416607834158136
MP-KCL-0036,Cloreto de potássio (KCl),3,35,314.03,89,40,0.449438202247191,0.6405025498493176
SB-BOM-0295,Bomba centrífuga aço inox 3”,5,26,101.82,1,1,1.0,0.6392595062180264
MP-H2SO4-0260,Ácido sulfúrico (H₂SO₄),3,35,311.16,112,53,0.4732142857142857,0.6369514040122032
MP-NH3-0083,Amônia anidra (NH₃),3,29,320.76,144,38,0.2638888888888889,0.6340982542693898
MP-MAP-0222,Fosfato monoamônico (MAP),4,29,169.25,86,40,0.46511627906976744,0.6334499325061116
MP-NH3-0214,Amônia anidra (NH₃),3,43,241.42,109,56,0.5137614678899083,0.6288113303099798
MP-KCL-0271,Cloreto de potássio (KCl),3,41,214.32,72,18,0.25,0.6270270514636943
MP-KCL-0086,Cloreto de potássio (KCl),3,44,208.04,137,50,0.36496350364963503,0.6267838351009268
MP-KCL-0240,Cloreto de potássio (KCl),4,31,126.19,148,56,0.3783783783783784,0.6251760385434841
MP-H2SO4-0350,Ácido sulfúrico (H₂SO₄),3,41,267.04,93,59,0.6344086021505376,0.6246145518187884
MP-URE-0241,Ureia (46% N),3,54,181.82,117,86,0.7350427350427351,0.6241213930658408
MP-NH3-0089,Amônia anidra (NH₃),3,34,276.62,52,19,0.36538461538461536,0.6224308097637986
SB-BOM-0174,Bomba centrífuga aço inox 3”,5,19,203.45,34,52,1.5294117647058822,0.6223808622093969
SB-BOM-0379,Bomba centrífuga aço inox 3”,5,26,145.58,24,36,1.5,0.6223530891206106
SB-BOM-0274,Bomba centrífuga aço inox 3”,5,23,89.29,1,1,1.0,0.6195948354463642
MP-KCL-0173,Cloreto de potássio (KCl),3,44,268.66,107,95,0.8878504672897196,0.6173475495236465
MP-H2SO4-0003,Ácido sulfúrico (H₂SO₄),4,31,150.38,89,57,0.6404494382022472,0.6170102539977771
MP-MAP-0381,Fosfato monoamônico (MAP),3,34,287.5,139,73,0.5251798561151079,0.6153045826676689
MP-H2SO4-0200,Ácido sulfúrico (H₂SO₄),4,36,170.04,127,141,1.110236220472441,0.6104062376137237
SB-AGI-0094,Agitador tanque 5 m³,5,17,115.65,1,1,1.0,0.6087980799734541
IP-ADP-0267,Aditivo anti-empedrante granulação,4,42,124.58,54,62,1.1481481481481481,0.6074814685107445
IP-FLX-0012,Fluxo para granulação,4,28,171.44,59,44,0.7457627118644068,0.6073090345435593
MP-NH3-0066,Amônia anidra (NH₃),3,39,245.87,71,46,0.647887323943662,0.6032825583485365
MP-KCL-0059,Cloreto de potássio (KCl),3,30,303.73,152,91,0.5986842105263158,0.6013062679197093
SB-ROL-0230,Rolamento 6205-2RS,5,20,145.91,52,77,1.4807692307692308,0.5986966489491811
MP-MAP-0186,Fosfato monoamônico (MAP),3,37,195.63,171,51,0.2982456140350877,0.595732621795396
IP-FLX-0291,Fluxo para granulação,5,5,185.46,52,54,1.0384615384615385,0.5935193383686171
MP-DAP-0205,Fosfato diamônico (DAP),3,55,112.82,85,59,0.6941176470588235,0.5934423682732051
MP-AMN-0153,Nitrato de amônio,3,38,172.96,130,32,0.24615384615384617,0.5916816570287289
MP-MAP-0008,Fosfato monoamônico (MAP),4,13,258.29,139,105,0.7553956834532374,0.5911486135523667
MP-KCL-0238,Cloreto de potássio (KCl),3,53,136.97,119,105,0.8823529411764706,0.582862184248421
IP-CAT-0050,Catalisador linha amônia,4,23,237.49,99,124,1.2525252525252526,0.5810276584022777
MP-DAP-0331,Fosfato diamônico (DAP),3,32,250.35,154,93,0.6038961038961039,0.5797313278988833
MP-AMN-0353,Nitrato de amônio,3,28,284.45,50,34,0.68,0.575434804320401
MP-H2SO4-0354,Ácido sulfúrico (H₂SO₄),3,32,227.05,100,51,0.51,0.5745372103971753
MP-AMN-0315,Nitrato de amônio,3,39,177.56,118,67,0.5677966101694916,0.5719754701112167
SB-VAL-0207,Válvula esfera 2” PVDF,4,32,111.29,1,1,1.0,0.5699380695764664
MP-URE-0005,Ureia (46% N),3,28,269.78,118,77,0.652542372881356,0.5695564057296354
SB-SEN-0383,Sensor de nível ultrassônico,5,14,85.06,15,17,1.1333333333333333,0.5681284392797937
SB-AGI-0056,Agitador tanque 5 m³,5,14,63.59,1,1,1.0,0.5671984981289897
MP-NH3-0371,Amônia anidra (NH₃),4,9,206.41,128,64,0.5,0.5664503670394739
SB-VAL-0119,Válvula esfera 2” PVDF,5,19,65.74,28,36,1.2857142857142858,0.5660416584932856
MP-MAP-0239,Fosfato monoamônico (MAP),3,31,199.58,86,33,0.38372093023255816,0.5654595150944941
IP-CAT-0342,Catalisador linha amônia,4,17,165.65,43,28,0.6511627906976745,0.5652788983002558
IP-CAT-0396,Catalisador linha amônia,4,30,145.33,44,54,1.2272727272727273,0.5616299864660133
MP-MAP-0257,Fosfato monoamônico (MAP),4,19,100.0,58,24,0.41379310344827586,0.5568785788194447
IP-FLX-0261,Fluxo para granulação,4,21,102.16,68,37,0.5441176470588235,0.5558159721304772
IP-ADP-0163,Aditivo anti-empedrante granulação,4,20,170.44,68,65,0.9558823529411765,0.5555468007014163
SB-AGI-0323,Agitador tanque 5 m³,5,21,60.5,30,45,1.5,0.553956371846557
SB-MOT-0027,Motor 30 kW IP55,5,7,110.73,22,26,1.1818181818181819,0.5487174809167836
SB-MOT-0226,Motor 30 kW IP55,5,7,124.76,7,9,1.2857142857142858,0.5479439719784964
MP-MAP-0280,Fosfato monoamônico (MAP),3,25,270.88,116,90,0.7758620689655172,0.547296210704651
SB-VAL-0090,Válvula esfera 2” PVDF,4,25,122.7,1,1,1.0,0.5466083791050171
MP-KCL-0333,Cloreto de potássio (KCl),2,48,272.17,102,79,0.7745098039215687,0.5455810451196502
IP-ADP-0244,Aditivo anti-empedrante granulação,4,18,123.11,51,34,0.6666666666666666,0.5446338845810412
MP-URE-0177,Ureia (46% N),3,30,227.05,103,81,0.7864077669902912,0.5432929779221245
MP-MAP-0265,Fosfato monoamônico (MAP),3,37,111.6,103,39,0.3786407766990291,0.5424822663326304
MP-DAP-0074,Fosfato diamônico (DAP),2,45,231.49,102,42,0.4117647058823529,0.5401780137310221
IP-ADP-0058,Aditivo anti-empedrante granulação,4,18,139.06,47,39,0.8297872340425532,0.5400470332162409
MP-URE-0042,Ureia (46% N),3,34,179.36,114,83,0.7280701754385965,0.5385849730561111
MP-DAP-0076,Fosfato diamônico (DAP),2,43,278.66,157,103,0.6560509554140127,0.5377541488897493
MP-DAP-0031,Fosfato diamônico (DAP),3,26,224.37,108,69,0.6388888888888888,0.5370088826409051
IP-FLX-0013,Fluxo para granulação,4,5,281.22,78,91,1.1666666666666667,0.5360947096231312
IP-ANT-0191,Antiespumante para reator,4,28,80.0,70,72,1.0285714285714285,0.5332726923889894
SB-MOT-0139,Motor 30 kW IP55,5,15,79.88,19,30,1.5789473684210527,0.5327830136126592
SB-BOM-0237,Bomba centrífuga aço inox 3”,5,19,47.85,22,35,1.5909090909090908,0.5309735794274993
SB-VAL-0286,Válvula esfera 2” PVDF,4,23,157.48,3,4,1.3333333333333333,0.5299739568839162
IP-CAT-0263,Catalisador linha amônia,4,13,165.47,24,21,0.875,0.5297908162727131
SB-COR-0266,Correia transportadora 800 mm,5,13,57.57,8,11,1.375,0.5287293621078124
MP-MAP-0025,Fosfato monoamônico (MAP),2,42,242.23,106,50,0.4716981132075472,0.5284885604026772
MP-KCL-0035,Cloreto de potássio (KCl),2,41,241.65,70,30,0.42857142857142855,0.5274820834833416
MP-NH3-0051,Amônia anidra (NH₃),2,44,188.17,154,36,0.23376623376623376,0.5265657598232534
IP-CAT-0339,Catalisador linha amônia,4,18,154.11,42,46,1.0952380952380953,0.5265311107180006
IP-CAT-0255,Catalisador linha amônia,4,18,210.8,99,150,1.5151515151515151,0.5233967532395738
IP-FLX-0351,Fluxo para granulação,4,23,95.97,66,67,1.0151515151515151,0.5220533820704903
MP-URE-0217,Ureia (46% N),3,41,100.0,106,80,0.7547169811320755,0.5220146147991966
MP-DAP-0303,Fosfato diamônico (DAP),2,50,202.04,139,98,0.7050359712230215,0.5208640409813885
IP-CAT-0075,Catalisador linha amônia,3,37,142.53,87,74,0.8505747126436781,0.5207685745748553
SB-MOT-0149,Motor 30 kW IP55,4,22,97.86,1,1,1.0,0.5201129783736738
MP-AMN-0348,Nitrato de amônio,3,20,214.32,74,35,0.47297297297297297,0.5196761450875145
IP-FLX-0127,Fluxo para granulação,3,38,130.05,81,68,0.8395061728395061,0.518992594626682
SB-COR-0151,Correia transportadora 800 mm,5,16,74.33,30,53,1.7666666666666666,0.5184768850336039
IP-ANT-0366,Antiespumante para reator,4,25,96.15,65,78,1.2,0.5154005663161083
SB-COR-0142,Correia transportadora 800 mm,4,30,157.98,49,93,1.8979591836734695,0.5134002087847154
SB-VAL-0341,Válvula esfera 2” PVDF,5,6,62.49,17,21,1.2352941176470589,0.5133069759164622
MP-NH3-0197,Amônia anidra (NH₃),1,51,291.33,162,39,0.24074074074074073,0.5128949753366306
IP-FLX-0328,Fluxo para granulação,3,33,141.38,30,22,0.7333333333333333,0.5128392942209022
MP-URE-0007,Ureia (46% N),2,43,234.3,116,78,0.6724137931034483,0.5117911834686163
MP-MAP-0256,Fosfato monoamônico (MAP),3,20,216.16,68,41,0.6029411764705882,0.5099907506913053
SB-AGI-0165,Agitador tanque 5 m³,4,20,115.96,12,14,1.1666666666666667,0.5079524529931466
SB-VAL-0080,Válvula esfera 2” PVDF,5,8,96.71,11,18,1.6363636363636365,0.5077310592112395
SB-MOT-0269,Motor 30 kW IP55,4,22,132.01,15,21,1.4,0.5061117467018007
SB-AGI-0183,Agitador tanque 5 m³,5,1,92.48,26,33,1.2692307692307692,0.5059661681061486
IP-ANT-0158,Antiespumante para reator,3,35,171.29,28,32,1.1428571428571428,0.5041753501613037
SB-VAL-0215,Válvula esfera 2” PVDF,4,24,103.82,28,38,1.3571428571428572,0.5024743408371846
IP-CAT-0157,Catalisador linha amônia,3,27,144.99,70,42,0.6,0.5004023348556453
IP-FLX-0140,Fluxo para granulação,3,27,173.77,5,4,0.8,0.4998967388554576
MP-DAP-0376,Fosfato diamônico (DAP),3,22,138.9,161,50,0.3105590062111801,0.49967989220425346
MP-KCL-0311,Cloreto de potássio (KCl),3,24,185.28,140,104,0.7428571428571429,0.4982789501497
IP-FLX-0103,Fluxo para granulação,3,23,185.07,49,34,0.6938775510204082,0.4979599287782143
IP-ANT-0235,Antiespumante para reator,3,31,180.94,85,93,1.0941176470588236,0.4965959286643296
SB-AGI-0400,Agitador tanque 5 m³,4,14,128.51,24,26,1.0833333333333333,0.4963573825059617
IP-FLX-0148,Fluxo para granulação,4,11,108.0,87,70,0.8045977011494253,0.4952260863266561
MP-NH3-0236,Amônia anidra (NH₃),3,38,121.77,163,175,1.0736196319018405,0.49511250659398287
IP-FLX-0077,Fluxo para granulação,3,20,270.95,18,21,1.1666666666666667,0.49395528297417646
IP-FLX-0343,Fluxo para granulação,3,30,182.58,59,65,1.1016949152542372,0.4926444716729653
SB-VAL-0181,Válvula esfera 2” PVDF,4,21,69.33,21,23,1.0952380952380953,0.4921991663494054
MP-DAP-0028,Fosfato diamônico (DAP),3,32,100.0,140,95,0.6785714285714286,0.4901516675150374
IP-FLX-0302,Fluxo para granulação,3,25,185.67,68,62,0.9117647058823529,0.4888185398424236
SB-BOM-0019,Bomba centrífuga aço inox 3”,5,7,63.02,35,56,1.6,0.48779496282222096
IP-CAT-0176,Catalisador linha amônia,4,6,149.84,63,58,0.9206349206349206,0.4876975552861724
MP-KCL-0114,Cloreto de potássio (KCl),2,21,309.81,72,25,0.3472222222222222,0.487259119351537
SB-AGI-0231,Agitador tanque 5 m³,4,13,102.0,1,1,1.0,0.4842746412185157
IP-CAT-0359,Catalisador linha amônia,3,22,179.89,49,38,0.7755102040816326,0.4841236390383157
SB-BOM-0224,Bomba centrífuga aço inox 3”,4,25,115.88,7,12,1.7142857142857142,0.4839832610439342
SB-SEN-0305,Sensor de nível ultrassônico,4,18,93.82,31,38,1.2258064516129032,0.4823207898955636
IP-ADP-0011,Aditivo anti-empedrante granulação,2,45,194.65,23,20,0.8695652173913043,0.4820235089645233
IP-CAT-0040,Catalisador linha amônia,4,13,173.7,36,55,1.5277777777777777,0.4805836766611215
SB-VAL-0367,Válvula esfera 2” PVDF,4,5,235.85,11,17,1.5454545454545454,0.47971579708453227
MP-NH3-0021,Amônia anidra (NH₃),2,28,212.59,67,12,0.1791044776119403,0.47682250521165925
SB-MOT-0037,Motor 30 kW IP55,4,18,150.88,26,44,1.6923076923076923,0.47555397553866724
SB-SEN-0345,Sensor de nível ultrassônico,3,35,114.08,16,18,1.125,0.47390095370572405
SB-MOT-0277,Motor 30 kW IP55,4,19,127.8,24,39,1.625,0.47252894769190695
SB-SEN-0317,Sensor de nível ultrassônico,4,16,88.95,33,40,1.2121212121212122,0.4722712354984543
IP-FLX-0123,Fluxo para granulação,4,19,62.26,32,38,1.1875,0.4722012347560198
IP-ANT-0206,Antiespumante para reator,3,23,158.46,103,86,0.8349514563106796,0.4715729802232881
IP-ADP-0290,Aditivo anti-empedrante granulação,3,10,196.38,66,29,0.4393939393939394,0.4701146292057934
SB-AGI-0060,Agitador tanque 5 m³,4,11,128.82,16,20,1.25,0.4700880266690972
IP-ADP-0087,Aditivo anti-empedrante granulação,3,21,183.72,78,72,0.9230769230769231,0.4698554793375919
SB-ROL-0064,Rolamento 6205-2RS,4,11,103.33,12,13,1.0833333333333333,0.4696733182338959
SB-AGI-0105,Agitador tanque 5 m³,4,18,115.31,28,43,1.5357142857142858,0.46871614257368277
IP-CAT-0122,Catalisador linha amônia,3,32,145.55,23,29,1.2608695652173914,0.4674590308229894
MP-AMN-0102,Nitrato de amônio,2,34,248.68,123,104,0.8455284552845529,0.46737427321109937
MP-H2SO4-0150,Ácido sulfúrico (H₂SO₄),2,17,331.62,111,60,0.5405405405405406,0.46648718544911927
IP-ANT-0368,Antiespumante para reator,3,26,113.7,72,54,0.75,0.4664458946749257
SB-ROL-0187,Rolamento 6205-2RS,5,1,41.96,24,34,1.4166666666666667,0.46578765135665134
MP-URE-0167,Ureia (46% N),2,25,292.15,144,101,0.7013888888888888,0.4652336607204986
SB-ROL-0218,Rolamento 6205-2RS,4,14,156.91,30,50,1.6666666666666667,0.4640630584143806
SB-MOT-0093,Motor 30 kW IP55,4,12,117.15,22,29,1.3181818181818181,0.4622330992272623
SB-MOT-0193,Motor 30 kW IP55,4,10,144.31,20,28,1.4,0.4620894701206995
MP-URE-0399,Ureia (46% N),3,30,114.94,170,174,1.0235294117647058,0.4615505684471844
SB-MOT-0189,Motor 30 kW IP55,4,18,88.15,22,32,1.4545454545454546,0.46033170382103744
IP-ANT-0130,Antiespumante para reator,3,22,196.68,78,93,1.1923076923076923,0.4591057414211104
SB-MOT-0032,Motor 30 kW IP55,4,27,58.75,19,34,1.7894736842105263,0.45456305044994977
IP-ADP-0288,Aditivo anti-empedrante granulação,3,23,100.5,76,53,0.6973684210526315,0.4507450799151618
IP-FLX-0321,Fluxo para granulação,3,26,152.38,73,88,1.2054794520547945,0.450388093688182
IP-FLX-0336,Fluxo para granulação,3,26,103.66,97,86,0.8865979381443299,0.449622236231943
MP-AMN-0332,Nitrato de amônio,1,45,258.76,75,38,0.5066666666666667,0.44749219604473073
IP-ADP-0111,Aditivo anti-empedrante granulação,3,22,171.2,73,85,1.1643835616438356,0.44726738120638077
SB-AGI-0369,Agitador tanque 5 m³,4,5,114.14,30,34,1.1333333333333333,0.4461291277793836
SB-COR-0049,Correia transportadora 800 mm,4,18,126.99,39,74,1.8974358974358974,0.4453997311036408
SB-VAL-0079,Válvula esfera 2” PVDF,4,15,97.71,29,45,1.5517241379310345,0.44491932109128235
IP-ADP-0180,Aditivo anti-empedrante granulação,3,24,114.62,61,56,0.9180327868852459,0.44463977460786613
IP-CAT-0284,Catalisador linha amônia,3,26,74.69,23,18,0.782608695652174,0.4421133197164898
SB-SEN-0107,Sensor de nível ultrassônico,4,6,79.33,1,1,1.0,0.4420342052534894
SB-VAL-0293,Válvula esfera 2” PVDF,4,21,32.12,41,60,1.4634146341463414,0.44122230965493053
SB-COR-0330,Correia transportadora 800 mm,4,15,105.63,23,38,1.6521739130434783,0.44103931574325306
SB-AGI-0270,Agitador tanque 5 m³,4,15,108.27,16,27,1.6875,0.4395941738462676
IP-FLX-0202,Fluxo para granulação,2,43,130.62,64,57,0.890625,0.4362843060885272
SB-AGI-0313,Agitador tanque 5 m³,4,10,91.43,27,37,1.3703703703703705,0.4351875420669444
IP-ADP-0185,Aditivo anti-empedrante granulação,3,28,85.92,54,57,1.0555555555555556,0.43433478486384247
SB-AGI-0017,Agitador tanque 5 m³,4,14,136.97,39,74,1.8974358974358974,0.43398840837890257
MP-H2SO4-0388,Ácido sulfúrico (H₂SO₄),2,11,339.81,111,77,0.6936936936936937,0.4329917235784615
IP-FLX-0071,Fluxo para granulação,3,19,167.18,12,14,1.1666666666666667,0.432136772425769
MP-KCL-0329,Cloreto de potássio (KCl),1,46,193.1,94,31,0.32978723404255317,0.42986603082359387
SB-VAL-0020,Válvula esfera 2” PVDF,3,30,119.21,30,44,1.4666666666666666,0.42741562113526077
IP-ADP-0279,Aditivo anti-empedrante granulação,2,37,188.56,65,71,1.0923076923076922,0.4263970391356229
SB-VAL-0132,Válvula esfera 2” PVDF,4,9,97.4,24,36,1.5,0.4235844573794814
MP-NH3-0325,Amônia anidra (NH₃),2,32,151.37,141,92,0.6524822695035462,0.42080565693587074
SB-ROL-0210,Rolamento 6205-2RS,3,29,119.28,6,9,1.5,0.420471273856252
IP-ANT-0372,Antiespumante para reator,2,45,145.26,95,122,1.2842105263157895,0.42046009821858876
IP-ANT-0362,Antiespumante para reator,3,18,153.18,36,42,1.1666666666666667,0.4201309855557185
SB-MOT-0220,Motor 30 kW IP55,3,24,82.3,1,1,1.0,0.4199534232406465
SB-BOM-0001,Bomba centrífuga aço inox 3”,4,14,60.06,29,45,1.5517241379310345,0.419790320285695
SB-ROL-0283,Rolamento 6205-2RS,3,22,144.48,12,16,1.3333333333333333,0.41852306283069607
SB-VAL-0298,Válvula esfera 2” PVDF,4,20,30.59,16,27,1.6875,0.4176765443910199
SB-MOT-0250,Motor 30 kW IP55,4,1,72.28,1,1,1.0,0.4169357705752048
IP-FLX-0073,Fluxo para granulação,3,9,130.63,76,45,0.5921052631578947,0.41681323342914217
SB-BOM-0307,Bomba centrífuga aço inox 3”,4,14,22.99,44,59,1.3409090909090908,0.4165867669089221
SB-COR-0120,Correia transportadora 800 mm,3,27,91.04,35,44,1.2571428571428571,0.41633238064515377
IP-ADP-0023,Aditivo anti-empedrante granulação,3,13,172.89,72,79,1.0972222222222223,0.4156021097308561
IP-ANT-0334,Antiespumante para reator,3,22,86.77,78,77,0.9871794871794872,0.41501533365424126
SB-BOM-0212,Bomba centrífuga aço inox 3”,4,7,84.44,43,61,1.4186046511627908,0.41462357950407497
IP-CAT-0145,Catalisador linha amônia,3,11,162.39,80,75,0.9375,0.4144586047602846
IP-CAT-0198,Catalisador linha amônia,3,20,133.4,76,97,1.2763157894736843,0.4085972117181782
SB-ROL-0365,Rolamento 6205-2RS,4,11,83.97,44,75,1.7045454545454546,0.4077569728277485
SB-VAL-0249,Válvula esfera 2” PVDF,4,12,83.68,21,37,1.7619047619047619,0.40710825157837127
SB-BOM-0078,Bomba centrífuga aço inox 3”,3,22,89.98,9,10,1.1111111111111112,0.406587417960182
MP-URE-0296,Ureia (46% N),1,37,230.84,69,28,0.4057971014492754,0.4064106220508514
SB-COR-0047,Correia transportadora 800 mm,3,22,99.34,15,18,1.2,0.4044588098890186
IP-ANT-0223,Antiespumante para reator,3,21,50.0,39,33,0.8461538461538461,0.4019919146453367
SB-MOT-0179,Motor 30 kW IP55,3,28,130.58,25,44,1.76,0.40108624120857506
SB-BOM-0030,Bomba centrífuga aço inox 3”,4,9,49.25,31,46,1.4838709677419355,0.3981950327396313
SB-AGI-0211,Agitador tanque 5 m³,3,20,123.24,16,22,1.375,0.39483018714654206
SB-COR-0106,Correia transportadora 800 mm,4,9,76.09,41,70,1.7073170731707317,0.39468152379255983
SB-MOT-0357,Motor 30 kW IP55,4,5,58.53,13,18,1.3846153846153846,0.39457166712752334
MP-NH3-0320,Amônia anidra (NH₃),1,45,136.73,162,54,0.3333333333333333,0.3940573202273835
SB-BOM-0392,Bomba centrífuga aço inox 3”,3,33,82.32,45,80,1.7777777777777777,0.39402907607973614
IP-ADP-0299,Aditivo anti-empedrante granulação,2,45,50.0,34,33,0.9705882352941176,0.39343629213167763
MP-H2SO4-0192,Ácido sulfúrico (H₂SO₄),1,53,100.0,101,53,0.5247524752475248,0.39180586991581656
SB-COR-0358,Correia transportadora 800 mm,4,8,26.29,42,57,1.3571428571428572,0.39165689447401186
IP-ANT-0136,Antiespumante para reator,3,11,119.38,59,55,0.9322033898305084,0.39102898597516195
SB-COR-0048,Correia transportadora 800 mm,4,5,120.9,44,82,1.8636363636363635,0.38971999426308157
SB-MOT-0285,Motor 30 kW IP55,3,24,114.3,42,67,1.5952380952380953,0.3886760339531328
SB-AGI-0034,Agitador tanque 5 m³,3,14,101.82,1,1,1.0,0.38841204870491247
SB-AGI-0172,Agitador tanque 5 m³,3,22,111.23,6,9,1.5,0.38634337014228487
IP-CAT-0246,Catalisador linha amônia,2,31,173.66,34,40,1.1764705882352942,0.3857723170890432
SB-ROL-0326,Rolamento 6205-2RS,4,10,45.26,6,10,1.6666666666666667,0.38516012846007175
IP-FLX-0067,Fluxo para granulação,3,12,98.18,12,11,0.9166666666666666,0.38478241686044945
SB-ROL-0337,Rolamento 6205-2RS,3,20,111.23,37,53,1.4324324324324325,0.3834348107077447
SB-COR-0373,Correia transportadora 800 mm,3,15,167.04,18,28,1.5555555555555556,0.38307441578766677
SB-BOM-0327,Bomba centrífuga aço inox 3”,4,1,89.46,40,62,1.55,0.3811614512780483
SB-COR-0377,Correia transportadora 800 mm,3,16,120.73,31,41,1.3225806451612903,0.38080640553393874
SB-VAL-0131,Válvula esfera 2” PVDF,3,19,138.89,8,13,1.625,0.3786827085260551
SB-VAL-0335,Válvula esfera 2” PVDF,3,19,115.93,19,28,1.4736842105263157,0.37840731882594614
SB-SEN-0300,Sensor de nível ultrassônico,3,27,29.57,13,17,1.3076923076923077,0.3780590076957872
SB-AGI-0184,Agitador tanque 5 m³,3,22,87.01,37,54,1.4594594594594594,0.37624347743024206
SB-ROL-0209,Rolamento 6205-2RS,3,20,111.21,23,35,1.5217391304347827,0.3760668906018389
MP-KCL-0386,Cloreto de potássio (KCl),2,19,182.78,139,105,0.7553956834532374,0.3746723896355669
MP-AMN-0182,Nitrato de amônio,1,34,263.18,158,138,0.8734177215189873,0.37312278292484824
SB-MOT-0390,Motor 30 kW IP55,3,18,142.53,30,50,1.6666666666666667,0.3730328530150655
SB-AGI-0061,Agitador tanque 5 m³,3,16,104.74,3,4,1.3333333333333333,0.3710478954703024
SB-AGI-0134,Agitador tanque 5 m³,3,14,167.28,29,48,1.6551724137931034,0.370764159090294
IP-ADP-0044,Aditivo anti-empedrante granulação,2,33,162.32,107,150,1.4018691588785046,0.36938674025031565
SB-AGI-0160,Agitador tanque 5 m³,3,3,205.16,8,11,1.375,0.36825310432003616
